ID,URL,Title,Difficulty,Acceptance %,Frequency %,Frequency,Weight,PriorityScore,Completed
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.9%,75.0%,75.0,3,225.0,No
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,62.5%,62.5,3,187.5,No
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.3%,50.0%,50.0,3,150.0,No
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.4%,50.0%,50.0,3,150.0,No
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,58.1%,50.0%,50.0,3,150.0,No
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.3%,50.0%,50.0,3,150.0,No
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.8%,50.0%,50.0,3,150.0,No
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,37.7%,50.0%,50.0,3,150.0,No
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,59.8%,50.0%,50.0,3,150.0,No
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,74.9%,50.0%,50.0,3,150.0,No
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.9%,75.0%,75.0,2,150.0,No
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,62.5%,62.5,2,125.0,No
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.2%,62.5%,62.5,2,125.0,No
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.8%,62.5%,62.5,2,125.0,No
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.5%,62.5%,62.5,2,125.0,No
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,62.5%,62.5,2,125.0,No
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%,62.5,2,125.0,No
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,62.5%,62.5,2,125.0,No
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.0%,62.5%,62.5,2,125.0,No
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.6%,62.5%,62.5,2,125.0,No
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,44.7%,62.5%,62.5,2,125.0,No
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,62.5%,62.5,2,125.0,No
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.5%,62.5%,62.5,2,125.0,No
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,31.3%,37.5%,37.5,3,112.5,No
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.4%,37.5%,37.5,3,112.5,No
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,65.4%,37.5%,37.5,3,112.5,No
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.4%,37.5%,37.5,3,112.5,No
778,https://leetcode.com/problems/swim-in-rising-water,Swim in Rising Water,Hard,67.6%,37.5%,37.5,3,112.5,No
3721,https://leetcode.com/problems/longest-balanced-subarray-ii,Longest Balanced Subarray II,Hard,33.8%,37.5%,37.5,3,112.5,No
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,46.9%,37.5%,37.5,3,112.5,No
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.3%,37.5%,37.5,3,112.5,No
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,44.9%,37.5%,37.5,3,112.5,No
1526,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.1%,37.5%,37.5,3,112.5,No
